NAME	GENDER	AGE	ADDRESS
Alexey Hammadi	M	27	Comet Place, line 109
Lukas Gong	M	70	Webber Street, line 249
Tyson Knezevic	M	82	Pelton Street, line 77
Troy Garrigues	M	22	Lasell Street, line 493
Sandra Kaukenas	F	51	Mother Julia Road, line 367
Eric Rouba	M	50	Water Street, line 320
Yin Toma	M	89	Crown Point Drive, line 110
Romain Haig	M	63	Symmes Street, line 180
Braian Haydar	M	21	Barclay Road, line 128
Stanislav Krug	M	18	Coronado Road, line 283
Mercy Brusquetti	F	80	Russell Street, line 491
Jessie Vlahos	M	20	Brookvale Street, line 201
Luis Booth	M	31	Alwin Street, line 237
Cheikhou Lepchenko	M	23	Lamartine Place, line 458
Oleksiy Mejia	M	75	Woodgate Street, line 428
Dorian Sauer	M	49	Inman Court, line 374
Jeemin Tyler	M	65	Carpenter Street, line 492
Stephen Nunes	M	40	Harrington Avenue, line 231
Stefano Moniqui	M	35	Gilmer Street, line 278
Ricardo Barnaby	M	86	Fainwood Circle, line 278
Alexandros Pla	M	65	Divinity Avenue, line 366
Doyler Protsenko	M	86	Wildwood Street, line 429
Margaret Gao	F	39	Sleeper Street, line 357
Megumi Liu	F	59	Dickens Street, line 200
Njisane Saleh	M	89	Coleman Street, line 430
Diego Smith	M	71	Camelia Avenue, line 443
Meghan Lidberg	F	77	John Alden Road, line 417
Saulius Sinnig	M	23	Clay Street, line 290
Craig Cassara	M	70	West Boundary Road, line 438
Hung Mutlu	M	78	Baldwin Place, line 109
Sidni Sze	M	47	Gardner Place, line 14
Jaime Zhang	M	26	Pleasant Valley Circle, line 426
Andre Horvat-Panda	M	44	Cottage Park Avenue, line 227
Enzo O'shea	M	30	Elder Street, line 205
Samson Burgaard	M	77	Cornelia Street, line 406
Mhairi Tremblay	F	44	Hillcroft Road, line 51
Olga Mekic	F	45	Belnap Road, line 77
Marharyta Khakhlova	F	24	Havre Street, line 37
Rayan Titenis	M	68	Larch Place, line 210
Andreas Sinia	M	59	Mount Ida Road, line 455
William Girard	M	58	New Frontage Road North, line 215
Winston Li	M	85	Athens Street, line 395
Vladimir Frayer	M	50	Fountain Street, line 37
Marzia Novikau	F	86	Arch Street, line 101
Dmitriy Bartman	M	53	Shepard Court, line 14
Ibrahima Byrnes	M	20	Oldfields Road, line 117
Kateryna Matei	F	24	Fidelis Way, line 151
Tom Dvorsak	M	33	Wiget Street, line 496
Mi-Gyong Chen	F	55	Clarkson Street, line 195
Kazuki Leroy	M	74	Manassas Avenue, line 58
Jozef Stefansson	M	44	Garden Lane, line 34
Florent Aleh	M	42	Sidley Road, line 215
Yahima Menkov	F	83	Antrim Street, line 173
Rasul Tichelt	M	27	Kneeland Street, line 409
Ryunosuke Hagan	M	82	Newbury Street, line 321
James Pohrebnyak	M	48	Wallingford Road, line 36
Victoria Davis	F	46	Mount Everett Street, line 280
Sascha Bentley	M	44	Camelia Avenue, line 73
Keigo Lekai	M	25	Woodbridge Street, line 250
Ryan Fogg	M	39	Paula Road, line 85
Inaki Milanovic-Litre	M	33	Agassiz Park, line 221
Sergey Abalo	M	75	Wallingford Road, line 88
Hovhannes Piccinini	M	74	Lee Hill Road, line 333
Panagiotis Mucheru	M	80	Ricker Terrace, line 371
Joshua Ovono	M	64	Bancroft Street, line 321
James Seferovic	M	64	Bond Street, line 217
Nacissela Makarau	F	77	Millers Lane, line 485
Irawan Souza	M	62	Shepherd Avenue, line 364
Max Lee	M	59	Hamlet Street, line 141
Bogdan Beaubrun	M	74	Orchard Park Street, line 94
Diletta Sukochev	F	70	Moloney Street, line 402
Nastassia Wu	F	45	Orton Marotta Way, line 64
Kay Tramer	M	65	Maplewood Street, line 424
Amel Ochoa	M	42	Clevemont Avenue, line 329
Yue You	M	74	Ocean Street, line 114
Marios Lima	M	34	Cawfield Street, line 449
Kwan Scherer	M	46	Silver Street, line 182
Norman Weltz	M	17	Vinal Street, line 121
Felipe Kechrid	M	18	Donnell Street, line 40
Wilson Duong	M	40	Ritchie Street, line 161
Ronald Mehelba	M	62	Leyden Street, line 151
Mikolaj Sawa	M	45	Alna Place, line 442
Nicolas Rapinoe	M	69	Beechwood Street, line 441
Simone Abrantes	M	47	East Second Street, line 382
Christopher Wilson	M	30	Asticou Road, line 339
Matthew Toth	M	69	Winthrop Street, line 111
Maxime Tatishvili	M	57	Abbot Street, line 80
Milan Emmolo	M	84	Cheryl Lane, line 292
Milcah Kosarev	F	41	Bogandale Road, line 490
Martin Martin	M	43	Stanley Street, line 253
Sook-Ja Lindback	F	80	Mount Vernon Place, line 448
Nicolas Wells	M	73	Grouse Street, line 112
Dragan Murphy	M	82	Sylvester Road, line 429
Joel Tverdohlib	M	55	Noble Court, line 87
Silvia Konukh	F	85	Moreland Street, line 56
Michael Giorgio	M	26	Mount Ash Road, line 483
Martino Wallace	M	73	Lawton Street, line 14
Richard Timofeeva	M	32	Seaver Place, line 353
Henk Mrvaljevic	M	41	Plymouth Street, line 254
Frank Awad	M	42	Easton Avenue, line 159
Chen Moulinet	M	69	Trapelo Street, line 354
Jitka Mottram	F	73	Cerdan Avenue, line 268
Eric Lemaitre	M	77	Reservoir Avenue, line 251
Joanna Dlamini	F	54	Museum Road, line 171
Dawoud Atari	M	40	Savannah Avenue, line 281
Thomas Cronje	M	59	Suncrest Road, line 237
Premysl Michel	M	36	Mitchell Street, line 419
Carl Paischer	M	48	Ewer Street, line 278
Aylin Maurer	F	21	Lexington Avenue, line 411
Attila Sullivan	M	50	Cottrell Street, line 144
Ebrahim Baggaley	M	36	Marston Street, line 489
Jemma Mayr	F	81	Brush Hill Lane, line 456
Michael Sjostrand	M	87	Fairbanks Street, line 175
Ayele Bleibach	M	22	Woodbine Street, line 353
Florent Gu	M	89	Tiverton Road, line 111
Piotr Rabente	M	24	Greenock Street, line 371
Magdalena Kondratyeva	F	20	Woodbrier Road, line 466
Riaan Idlette	M	69	Thirteenth Street, line 164
Ivan Christou	M	48	Cromwell Road, line 345
Kaspar Brown	M	18	Jordan Road, line 154
Morten Kasprzak	M	28	Clarkson Street, line 309
Kenny Chavanel	M	25	Gore Street, line 164
Laura Neben	F	26	Millstone Road, line 445
Murilo Valenzuela	M	61	Rutherford Avenue, line 406
Tomasz Jang	M	78	Wakefield Avenue, line 431
Asafa Robles	M	67	Robey Street, line 285
Evagelos Felix	M	51	Kingsland Street, line 52
Micah Pigot	M	48	Vining Street, line 335
Winder Jongjit	M	63	Tomahawk Drive, line 337
Kristian Surgeloose	M	61	Bungalow Road, line 100
Micah Smith	M	77	Herbertson Road, line 13
Mel Quinonez	F	26	Armory Street, line 219
Lucy Maguire	F	68	Middleton Street, line 59
David Ferreira	M	16	Pearl Street, line 37
Daniel Jackson	M	71	Warwick Park, line 9
Sergiy Markt	M	66	Mallon Road, line 1
Mohammed Sakamoto	M	42	Fisher Avenue, line 324
Edgars Meshref	M	21	Tarleton Road, line 193
Martina Voronov	F	25	Jamestown Terrace, line 484
Inaki Murphy	M	62	Colebrook Street, line 424
Michael Chapman	M	59	Carver Street, line 337
Mouni Malaquias	F	89	Balmoral Park, line 317
Vicente Adams	M	49	Ashmore Road, line 382
Marcos Laukkanen	M	43	Wesley Place, line 447
Sergey Zurrer	M	75	Webster Avenue, line 267
Ryan Porter	M	40	Virginia Street, line 73
Simas Takahashi	M	20	Glenhaven Road, line 251
Jean-Christophe Kirkham	M	32	Don Street, line 415
Pedro Harper	M	27	Whitford Street, line 114
Vincent Robinson	M	86	Belnap Road, line 453
Zhongrong Stacchiotti	M	84	Morley Street, line 470
Christos Jo	M	75	Cameron Avenue, line 370
Alexandr Hamaguchi	M	62	Richfield Park, line 465
Alexander Obermoser	M	38	Iowa Street, line 493
Marc Gebremedhin	M	86	Margaret Street, line 305
Alexey Gille	M	49	Edge Hill Street, line 384
Chong Massialas	M	28	Laval Street, line 360
Mathias Longosiwa	M	45	Tafts Avenue, line 163
Mireia Lindh	F	27	Walk Hill Street, line 235
Periklis Gemmell	M	74	Randolph Street, line 372
Victor Labyad	M	78	Windham Road, line 60
Oleksandr Englmaier	M	69	Brookway Road, line 11
Charles He	M	59	Lawrence Avenue, line 225
Lea Mohsen	F	33	Senders Court, line 358
Simon Randall	M	63	Johnson Avenue, line 257
Jarred Selimau	M	76	Manthorne Road, line 64
Glen Randa	M	20	Lebanon Street, line 350
Brice Agliotti	M	46	Back Street, line 15
Mattia Sundstedt	M	54	Sanford Street, line 388
Teerawat Drouin	M	29	Concord Avenue, line 21
Yutong Pena	M	76	Ardmore Road, line 377
Lukasz Rodrigues	M	63	Bungalow Road, line 379
Younggwon Fabre	M	83	Doctor Mary Moore Beatty Circle, line 148
Robyn Sigmond	F	61	Moulton Street, line 474
Luisa Hultzer	F	83	Mansfield Street, line 378
Debora Moguenara	F	51	Brookfield Street, line 308
Carlos Caianiello	M	23	Puritan Avenue, line 211
Nikola Zhang	M	40	Front Street, line 328
Adam Moreno	M	16	Matthews Street, line 306
Daniele Carrascosa	M	79	Carpenter Street, line 297
